deal_id,cik,company_name,sic,first_filed,last_filed,filings,n_filings,outcome
136,0001009626,BROCADE COMMUNICATIONS SYSTEMS INC,3576,2016-04-04,2016-05-23,"425,425,425,425,425,425,425,425,425,425,425,425,S-4,425,425,425,425,S-4/A,425",19,likely_not_completed
137,0001010026,3DFX INTERACTIVE INC,7372,1999-04-15,1999-04-15,S-4,1,likely_not_completed
138,0001010026,3DFX INTERACTIVE INC,7372,2000-06-06,2001-02-15,"S-4,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",16,likely_not_completed
139,0001010138,DBT ONLINE INC,7370,1996-07-19,1996-08-16,"S-4/A,S-4/A,S-4",3,likely_not_completed
140,0001010138,DBT ONLINE INC,7370,2000-02-16,2000-05-04,"425,425,425,425,425,425,425,425",8,likely_completed
141,0001011601,ACTIVECORE TECHNOLOGIES INC,7372,2005-01-20,2005-02-08,"425,425",2,likely_not_completed
142,0001012482,NETOPIA INC,3576,2001-01-24,2001-02-01,"425,425,425,425,425,425",6,likely_not_completed
143,0001013462,ANSYS INC,7372,2024-01-16,2025-07-17,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",31,likely_completed
144,0001014763,"Ainos, Inc.",3577,2015-09-16,2015-09-16,425,1,likely_not_completed
145,0001014852,EARTHWATCH INC,3663,2000-06-13,2000-07-11,"S-4,S-4/A",2,likely_not_completed
146,0001016139,ALLAIRE CORP,7372,2001-01-17,2001-03-08,"425,425,425,425,425,425,425",7,likely_completed
147,0001018074,CARRIER ACCESS CORP,3661,2007-12-26,2007-12-26,425,1,likely_completed
148,0001020620,AT HOME CORP,7370,1999-04-27,2000-11-03,"S-4,S-4,S-4,S-4/A",4,likely_not_completed
149,0001022652,INSEEGO CORP.,3669,2016-12-08,2017-01-10,"425,S-4,425,425,425,425,425",7,likely_not_completed
150,0001023139,EAGLE BROADBAND INC,3663,2000-09-18,2000-12-28,"425,S-4,425,425,S-4/A",5,likely_not_completed
151,0001024047,LARSCOM INC,3669,2003-03-18,2004-07-28,"425,425,425,425,425,425,425,425,425,S-4,425,425,S-4/A,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",31,likely_completed
152,0001024339,CREDIT MANAGEMENT SOLUTIONS INC,7371,2001-01-31,2001-01-31,425,1,likely_completed
153,0001027278,APEX INC,3577,2000-03-08,2000-06-02,"425,425,425,425,425,425,425,425,425,425,425",11,likely_completed
154,0001028461,COVANSYS CORP,7371,1997-09-30,1998-06-09,"S-4,S-4",2,likely_not_completed
155,0001028584,"AMICAS, Inc.",7372,1997-01-28,1997-07-08,"S-4,S-4/A,S-4/A,S-4",4,likely_not_completed
156,0001028584,"AMICAS, Inc.",7372,1999-09-27,2001-06-18,"S-4,S-4,S-4/A,S-4,S-4/A,S-4/A,S-4/A",7,likely_not_completed
157,0001028584,"AMICAS, Inc.",7372,2010-07-28,2011-10-28,"S-4,S-4/A,S-4,S-4/A,S-4/A",5,likely_not_completed
158,0001031951,COPPER MOUNTAIN NETWORKS INC,3661,2005-02-14,2005-05-20,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",15,likely_completed
159,0001035881,GENERAL INSTRUMENT CORP,3663,1997-03-21,1997-06-13,"S-4,S-4/A,S-4/A,S-4/A,S-4/A",5,likely_not_completed
160,0001035884,COMMSCOPE INC,3663,1997-03-21,1997-06-13,"S-4,S-4/A,S-4/A,S-4/A,S-4/A",5,likely_not_completed
161,0001035884,COMMSCOPE INC,3663,2007-06-27,2007-12-10,"425,425,425,425,425,425,425,425,425,425,S-4,425,425,425,S-4/A,S-4/A,425,425,S-4/A,425,425,425,425",23,likely_completed
162,0001037186,ARIS CORP/,7370,1998-05-05,1998-05-29,"S-4,S-4/A,S-4/A",3,likely_completed
163,0001037186,ARIS CORP/,7370,1999-08-05,1999-08-05,S-4,1,likely_completed
164,0001039198,ARROWPOINT COMMUNICATIONS INC,7370,2000-05-05,2000-05-05,"425,425,425",3,likely_completed
165,0001040570,"GeoEye, Inc.",4899,1998-04-07,1999-06-25,"S-4,S-4/A,S-4/A,S-4/A,S-4,S-4/A",6,likely_not_completed
166,0001040570,"GeoEye, Inc.",4899,2006-06-21,2006-07-31,"S-4,S-4/A",2,likely_not_completed
